id,address,location
0,北塔区江北开发区25号地15栋,"111.452197,27.246489"
1,北塔区陈家桥乡光裕村3组,"111.386851,27.246538"
2,北塔区陈家桥乡李子塘村1组（石矿上村道边）,"111.381969,27.257335"
3,北塔区陈家桥乡三塘冲村5组25号,"111.434944,27.292477"
4,双清区公园1号43（1）号、43（2）号门面,"111.478497,27.249479"
5,大祥区马蹄路职工医院对面,"111.450211,27.226798"
6,大祥区民族路98号,"111.451440,27.232950"
7,北塔区新渡社区,"111.428477,27.242426"
8,大祥区城北路综合巷狮子街2号楼6号,"111.461983,27.238043"
9,大祥区檀江乡大塘村2组42号,"111.509366,27.196838"
10,大祥区铜铃路家园小区1栋第2号标段,"111.439091,27.221452"
11,双清区云水肥田12组,"111.546185,27.203811"
12,大祥区宝庆中路三八亭综合楼后栋11号门面,"111.472226,27.232602"
13,北塔区田江乡柘木安置小区1栋1单元1号,"111.455882,27.258090"
14,北塔区江北市场36栋49号,"111.455292,27.243958"
15,北塔区九江社区C栋,"111.459698,27.247093"
16,双清区金百汇商业街B150号,"111.481330,27.239808"
17,北塔区江北市场第31栋1号门面,"111.452064,27.242894"
18,北塔区陈家桥乡万桥村8组,"111.460165,27.280884"
19,大祥区邵水西路93号门面,"111.475290,27.229225"
20,大祥区蔡锷乡山东村13组104号,"111.550036,27.097305"
21,双清区通衡街社区通衡街39号4栋1单元101号,"111.478212,27.236804"
22,双清区五一南路天桥1号报刊亭,"111.480541,27.234532"
23,双清区张家冲保宁三巷10号,"111.476783,27.235847"
24,北塔区魏源路1栋106号,"111.455091,27.246010"
25,大祥区蔡锷乡陈乔村2组,"111.551342,27.143833"
26,双清区洛阳洞4-1栋综合楼7号门面,"111.477163,27.243296"
27,北塔区磨石村五组,"111.445067,27.246292"
28,北塔区状元洲办事处磨石6组门面,"111.456090,27.245243"
29,双清区宝庆车站,"111.484686,27.238084"
30,大祥区雨溪镇新冲村313号,"111.412907,27.159144"
31,大祥区邵水西方路羽绒厂家属区门面8-9号,"111.476026,27.227563"
32,大祥区城北路四通公园综合楼18号门面,"111.469885,27.240504"
33,大祥区城南乡马蹄社区7组,"111.486640,27.156740"
34,北塔区宏远大厦门面,"111.456873,27.242048"
35,双清区紫薇社区居民委员会9组集资路069号,"111.511089,27.248593"
36,双清区高崇山镇高崇山社区7组,"111.592730,27.257465"
37,大祥区蔡锷乡黄草坪村8组,"111.591238,27.111520"
38,双清区铁砂岭社区7弄3号,"111.482251,27.230658"
39,双清区双坡岭四公司门面33栋4号,"111.505310,27.251243"
40,大祥区迎春路鑫悦家园1009-1010号门面,"111.439902,27.225558"
41,北塔区茶元头乡兴隆村,"111.397093,27.235013"
